31955,530i Sedan,50,Jatoba Brown Metallic,Sport Line,Canberra Beige,23,4,2018,76050,0,null,1
75800,M4 Coupe,74,Alpine White,Standard,Silverstone Full Merino Leather,4,10,2018,98450,0,32,6
93191,540i xDrive Sedan,50,Atlas Cedar Metallic,M Sport,Black SensaTecm,23,12,2018,72400,0,38,0
97632,xDrive40i2,33,Vermont Bronze Metallic,M Sport,Ivory White,18,3,2018,84300,0,null,10
01969,ALPINA B6 xDrive Gran Coupe,70,ALPINA Green Metallic,Standard,Zagora Beige Nappa Leather,20,2,2018,134800,0,76,7
04887,530e xDrive iPerformance,50,Cashmere Silver Metallic,M Sport,piping,1,2,2018,69440,0,91,10
73370,xDrive50i2,30,Jet Black,M Sport,Amaro Brown Extended Merino Leather,18,5,2018,83500,0,58,10
29494,540i Sedan,48,Cashmere Silver Metallic,M Sport,piping,2,5,2018,76450,0,89,2
76153,740i Sedan,62,Glacier Silver Metallic,Standard,Mocha Dakota Leather,24,4,2018,92650,0,null,1
92382,740i xDrive Sedan,63,Dark Graphite Metallic,Standard,Cognac Dakota Leather,25,1,2018,106950,0,25,2
51085,M40i,18,Glacier Silver Metallic,Standard,Mocha Vernasca Leather with contrast stitching,5,1,2018,61050,0,null,1
98767,Z4 sDrive30i,66,San Francisco Red,Sport Line,Black SensaTec,30,1,2018,73000,0,94,13
58142,530i Sedan,48,Glacier Silver Metallic,Luxury,piping,19,7,2018,73100,0,null,0
79664,750i xDrive Sedan,61,Cashmere Silver Metallic,Standard,Canberra Beige Dakota Leather,4,1,2018,99950,0,80,4
78980,BMW i3,82,Jucaro Beige Metallic with Frozen Grey Accent,Mega World,Deka Dark Cloth,26,9,2018,60575,0,109,8
08106,M3 Sedan,74,Mineral Grey Metallic,Standard,Cloth,16,4,2018,85100,0,null,11
64117,M5 Sedan,76,Singapore Gray Metallic,Standard,Aragon Brown Extended Merino Leather,14,4,2018,113700,0,null,8
76054,530e xDrive iPerformance,50,Jatoba Brown Metallic,M Sport,Black SensaTecm,11,6,2018,66300,0,null,9
82986,xDrive50i3,37,Jed Black,Luxury,Ivory White Extended Merino leather,16,12,2018,110800,0,null,8
28224,340i xDrive Gran Turismo,42,Alpine White,Luxury,piping,18,7,2018,59300,0,null,14
63533,M5 Sedan,76,Donington Grey Metallic,Standard,Black Full Merino Leather,6,12,2018,114100,0,85,14
23467,740e xDrive iPerformance,61,Black Sapphire Metallic,Standard,Mocha Dakota Leather,19,11,2018,94250,0,117,13
21228,M3 Sedan,73,Austin Yellow Metallic,Standard,Silverstone Full Merino Leather,16,1,2018,82700,0,null,4
58393,530e iPerformance,48,Imperial Blue Metallic,M Sport,Mocha Vernasca Leather with contrast stitching,5,12,2018,70150,0,null,11
18049,740e xDrive iPerformance,63,Arctic Grey Metallic,Standard,Ivory White and Black Dakota Leather,20,3,2018,100540,0,84,12
76126,sDrive30i,14,Dark Graphite Metallic,Luxury,Black Vernasca Leather with contrast stitching,9,10,2018,54100,0,66,14
81854,M760i xDrive Sedan,61,Glacier Silver Metallic,Standard,Cognac Dakota Leather,6,12,2018,167000,0,null,8
06044,330i xDrive Sedan,47,Vermont Bronze Metallic,M Sport,Black Vernasca Leather with contrast stitch,20,8,2018,52900,0,23,11
33795,sDrive35i,32,Dark Olive Metallic,M Sport,Black Dakota Leather,2,5,2018,64950,0,15,9
94276,M4 Convertible,74,Sakhir Orange Metallic,Standard,Silverstone Extended Merino Leather,24,5,2018,96300,0,null,10
48933,M40i,17,Dark Graphite Metallic,Standard,Black Vernasca Leather with contrast stitching,5,5,2018,69750,1,null,7
74917,330i Sedan,41,Blue Ridge Mountain Metallic,Sport Line,Cognac Vernasca Leather with contrast stitching,11,9,2018,45050,1,108,5
83932,M2 Competition,71,Black Sapphire Metallic,Standard,Black Dakota Leather with blue stitching,16,11,2018,58900,1,60,5
99761,sDrive30i,15,Glacier Silver Metallic,M Sport,piping,9,5,2018,51500,1,55,1
96076,M3 Sedan,73,Yas Marina Blue Metallic,Standard,Sonoma Beige Extended Merino Leather,2,7,2018,69800,1,123,2
54614,640i xDrive Gran Turismo,57,Bluestone Metallic,Sport Line,piping,4,12,2018,87800,1,66,7
52054,sDrive28i,0,Mineral Grey Metallic,xLine,Black SensaTec,12,6,2018,47850,1,null,0
21683,M5 Competition,76,Snapper Rocks Blue Metallic,Standard,Black Extended Merino Leather,8,3,2018,117500,1,null,4
78413,740e xDrive iPerformance,62,Cashmere Silver Metallic,Standard,Ivory White and Black Dakota Leather,30,2,2018,97340,1,113,13
83520,sDrive28i,5,Dark Olive Metallic,M Sport,Oyster Dakota Leather,13,3,2018,47400,1,118,12
39471,sDrive35i,31,Dark Graphite Metallic,M Sport,Black Dakota Leather,17,6,2018,70650,1,13,6
86621,xDrive35i,31,Jet Black,xLine,Cognac,1,12,2018,84650,1,null,7
55750,530i Sedan,51,Jet Black,M Sport,Cognac Vernasca Leather with contrast stitching,5,8,2018,63700,1,7,14
98673,740i Sedan,61,Dark Graphite Metallic,Standard,Canberra Beige Dakota Leather,15,11,2018,101650,1,null,1
39677,sDrive35i,31,Ruby Black Metallic,M Sport,Terra Dakota Leather,23,4,2018,81050,1,null,1
43071,xDrive35i,32,Azurite Black Metallic,M Sport,Black Dakota Leather,29,8,2018,74250,1,106,9
65029,M760i xDrive Sedan,61,Jatoba Brown Metallic,Standard,Ivory White and Black Dakota Leather,4,11,2018,165375,1,null,9
38097,M35i,11,Sunset Orange Metallic,Standard,Sensatec Oyster,24,6,2018,72600,1,null,11
93203,750i xDrive Sedan,62,Magellan Gray Metallic,Standard,Black Dakota Leather,8,10,2018,122650,1,44,12
93840,M40i2,26,Dark Graphite Metallic,Standard,Canberra Beige,15,9,2018,85450,1,39,0
86400,M2 Competition,71,Hockenheim Silver Metallic,Standard,Black Dakota Leather with blue stitching,17,5,2018,80190,1,null,3
70180,M550i xDrive Sedan,52,Alpine White,Standard,Canberra Beige,13,4,2018,89850,1,null,7
02390,ALPINA B6 xDrive Gran Coupe,70,Alpine White,Standard,Mocha Nappa Leather,28,5,2018,131500,1,104,3
66565,xDrive28i2,8,Glacier Silver Metallic,Standard,Black with Blue Highlight Dakota Leather,16,4,2018,52400,1,123,4
32653,540i Sedan,51,Black Sapphire Metallic,Sport Line,Canberra Beige,2,1,2018,77725,1,null,14
74206,xDrive35i,31,Pearl Silver metallic,xLine,Black Bi-Color Nappa Leather,29,9,2018,91750,1,null,14
08308,540i Sedan,49,Imperial Blue Metallic,M Sport,piping,16,2,2018,66450,1,2,7
70420,xDrive50i3,39,Black Sapphire Metallic,M Sport,Canberra Beige Vernasca Leather,27,11,2018,93000,1,125,9
11301,530e xDrive iPerformance,49,Jet Black,Luxury,piping,27,9,2018,70500,1,72,4
08244,BMW i8 Coupe,84,Crystal White Pearl Metallic with Frozen Grey accent,Tera World Copper,Giga Amido Full Perforated Leather,19,11,2018,155800,1,36,8
51954,330i xDrive Gran Turismo,47,Melbourne Red Metallic,M Sport,Black Vernasca Leather with contrast stitching,24,4,2018,72300,2,88,1
97977,750i Sedan,62,Cashmere Silver Metallic,Standard,Cognac Dakota Leather,12,10,2018,108625,2,null,7
06747,530e xDrive iPerformance,51,Jatoba Brown Metallic,Sport Line,piping,21,12,2018,76200,2,121,6
30544,530e iPerformance,49,Alpine White,Luxury,piping,25,10,2018,67900,2,107,0
46978,M3 Sedan,72,Mineral White Metallic,Standard,Leather combination Carbonstructure Anthracite,24,9,2018,71600,2,null,1
97934,xDrive28i2,8,Black Sapphire Metallic,Standard,Oyster Dakota Leather,16,9,2018,44700,2,null,3
06140,530e xDrive iPerformance,51,Black Sapphire Metallic,Sport Line,Canberra Beige,9,10,2018,60250,2,null,10
65638,xDrive30i,16,Dark Olive Metallic,M Sport,Mocha Vernasca Leather with contrast stitching,25,5,2018,46750,2,null,13
48480,xDrive28i2,9,Mineral Grey Metallic,M Sport X,Oyster Dakota Leather,22,5,2018,55700,2,null,13
80935,sDrive35i,30,Azurite Black Metallic,xLine,Terra Dakota Leather,20,5,2018,80050,2,34,14
77324,M35i,10,Black Sapphire Metallic,Standard,Black Dakota Leather,11,10,2018,61150,2,71,11
51806,BMW i8 Roadster,84,Crystal White Pearl Metallic with BMW i Frozen Blue accent,Tera World,Giga Amido Full Perforated Leather,2,12,2018,182540,2,null,4
30244,750i xDrive Sedan,63,Black Sapphire Metallic,Standard,Mocha Dakota Leather,14,4,2018,127650,2,133,0
58498,BMW i8 Roadster,83,E-Copper with Frozen Grey Accent,Tera World,Giga Amido Full Perforated Leather,3,7,2018,181600,2,null,1
16262,sDrive35i,32,Alpine White,xLine,Black Bi-Color Nappa Leather,9,5,2018,87400,2,null,12
35622,xDrive50i,27,Alpine White,M Sport,Coffee Vernasca Leather,18,9,2018,86250,2,58,5
62447,BMW i8 Coupe,84,Sophisto Grey Metallic with BMW i Frozen Blue accent,Tera World,Giga Ivory White Full Perforated Leather,2,10,2018,163450,2,126,12
66081,xDrive50i3,34,Alpine White,M Sport,Ivory White Extended Merino leather,26,2,2018,99800,2,49,1
84833,330i xDrive Sedan,47,Black Sapphire Metallic,Luxury,Mocha Vernasca Leather with contrast stitching,20,8,2018,61650,2,101,7
14267,sDrive28i2,9,Glacier Silver Metallic,M Sport X,Mocha Dakota Leather,3,6,2018,51300,2,97,7
95876,330i xDrive Gran Turismo,41,Portimao Blue Metallic,Luxury,Canberra Beige,3,8,2018,52800,2,64,14
25484,M40i2,20,Dark Graphite Metallic,Standard,piping,24,2,2018,82650,2,21,4
41582,BMW i8 Coupe,84,E-Copper with Frozen Grey Accent,Standard World,Giga Ivory White Full Perforated Leather,14,7,2018,154800,2,117,6
62418,M2 Competition,71,Black Sapphire Metallic,Standard,Black Dakota Leather with orange stitching,6,1,2018,71100,2,96,14
88534,xDrive35i,32,Jet Black,xLine,Coral Red,3,6,2018,82250,2,19,2
